zero,empty_slots,free_bikes,latitude,longitude,distance,venue,address,city,review_count,rating
0,0,0,55.8645383,-4.2836138,0,Distill,0,Glasgow,29,4
0,0,0,55.86834717,-4.273616791,0,The Drake,0,Glasgow,35,4
0,0,0,55.86206329,-4.253075023,0,Waxy O'Connors,0,Glasgow,56,3.5
0,0,0,55.8723974,-4.2728769,0,Munro's,0,Glasgow,30,3.5
0,0,0,55.8666433,-4.2903408,0,Firebird,0,Glasgow,57,4
0,0,0,55.9377826,-4.2128135,0,Torrance Inn,0,Glasgow,2,4.5
0,0,0,55.863971,-4.259456,0,Bloc+,0,Glasgow,92,4
0,0,0,55.865469,-4.266275,0,THe State Bar,0,Glasgow,37,4
0,0,0,55.86112471,-4.251692699,0,The Counting House,0,Glasgow,91,3.5
0,0,0,55.8749497,-4.280762672,0,Inn Deep,0,Glasgow,51,4
0,0,0,55.8588783,-4.2456599,0,Bar 91,0,Glasgow,23,4
0,0,0,55.858853,-4.248389,0,Citation Taverne and Restaurant,0,Glasgow,14,3
0,0,0,55.8754959,-4.2944053,0,Bothy Restaurant,0,Glasgow,40,4
0,0,0,55.8655116,-4.2837556,0,The Sisters,0,Glasgow,26,4.5
0,0,0,55.86110718,-4.2579991,0,Stereo,0,Glasgow,99,4.5
0,0,0,55.8748303,-4.292792481,0,Jinty McGuinty's,0,Glasgow,36,3.5
0,0,0,55.8580469,-4.2442038,0,Café Gandolfi,0,Glasgow,67,4.5
0,0,0,55.8579061,-4.2447286,0,Blackfriars,0,Glasgow,59,4
0,0,0,55.85747834,-4.256287365,0,Times Square,0,Glasgow,9,2.5
0,0,0,55.8669128,-4.2597389,0,Jackson's Drink Mongers,0,Glasgow,14,4
0,0,0,55.8581314,-4.2234488,0,Redmond's,0,Glasgow,13,4
0,0,0,55.8742666,-4.2765538,0,The Lansdowne Bar & Kitchen,0,Glasgow,26,3.5
0,0,0,55.8590951,-4.2481079,0,Rab Ha's,0,Glasgow,26,4
0,0,0,55.8547244,-4.2348558,0,Saint Luke's And The Winged Ox,0,Glasgow,15,4
0,0,0,55.8718389,-4.2979108,0,Bar Gumbo,0,Glasgow,34,4
0,0,0,55.859047,-4.248592,0,The Steps Bar,0,Glasgow,10,3.5
