,empty_slots,free_bikes,latitude,longitude,distance,venue,address,City,review_count,rating
6,0.0,0.0,55.864026,-4.27159,971.6471794486672,West Coast Harley Davidson,"['147-151 North St', 'Glasgow G3 7DA', 'United Kingdom']",Glasgow,8.0,2.5
7,0.0,0.0,55.8634033,-4.2605878,384.22668903482685,5th Blocker Skates,"['143 W Regent Street', 'Glasgow G2 2SG', 'United Kingdom']",Glasgow,3.0,5.0
0,0.0,0.0,55.8749146052102,-4.29324745449333,0.0,Ubiquitous Chip,0,Glasgow,152.0,4.5
1,0.0,0.0,55.8635876,-4.2578579,0.0,Rufus T Firefly,0,Glasgow,32.0,3.5
2,0.0,0.0,55.8641959729238,-4.26093339920044,0.0,The Butterfly and the Pig,0,Glasgow,257.0,4.5
3,0.0,0.0,55.8712831,-4.3006374,0.0,The Sparkle Horse,0,Glasgow,44.0,4.0
4,0.0,0.0,55.8774053325772,-4.28921699523926,0.0,Oran Mor,0,Glasgow,130.0,3.5
5,0.0,0.0,55.855316,-4.2503,0.0,Scotia Bar,0,Glasgow,27.0,4.0
6,0.0,0.0,55.860826,-4.256445,0.0,Horseshoe Bar,0,Glasgow,27.0,4.0
7,0.0,0.0,55.872544,-4.282411,0.0,Stravaigin,0,Glasgow,98.0,4.5
8,0.0,0.0,55.8652266,-4.2858285,0.0,The Ben Nevis,0,Glasgow,36.0,4.5
9,0.0,0.0,55.8658501,-4.2660387,0.0,Bar Budda,0,Glasgow,18.0,3.5
10,0.0,0.0,55.8646673813289,-4.25687361465584,0.0,Walkabout,0,Glasgow,44.0,2.5
11,0.0,0.0,55.863865769367,-4.2810277562577,0.0,The Brass Monkey,0,Glasgow,18.0,4.0
12,0.0,0.0,55.8614409713276,-4.25662279129028,0.0,The Drum and Monkey,0,Glasgow,48.0,4.0
13,0.0,0.0,55.8583053,-4.2440447,0.0,Home,0,Glasgow,25.0,3.5
14,0.0,0.0,55.8740272695543,-4.30181678443589,0.0,Cottier's,0,Glasgow,38.0,3.5
15,0.0,0.0,55.865029,-4.265696,0.0,Mini Grill,0,Glasgow,25.0,4.5
16,0.0,0.0,55.8640231,-4.2814909,0.0,Lebowskis,0,Glasgow,63.0,4.0
17,0.0,0.0,55.8754226961636,-4.29336391027654,0.0,The Curler's Rest,0,Glasgow,77.0,3.5
18,0.0,0.0,55.865734,-4.2769,0.0,McPhabbs,0,Glasgow,47.0,4.0
19,0.0,0.0,55.860349,-4.2593642,0.0,The Smokin' Fox,0,Glasgow,5.0,4.5
20,0.0,0.0,55.865469,-4.266275,0.0,THe State Bar,0,Glasgow,37.0,4.0
21,0.0,0.0,55.8632813,-4.2561755,0.0,The Raven,0,Glasgow,53.0,4.0
22,0.0,0.0,55.8601440459889,-4.23371256690206,0.0,Drygate Brewing Co,0,Glasgow,82.0,4.0
23,0.0,0.0,55.865937,-4.269321,0.0,Variety Bar,0,Glasgow,23.0,4.0
24,0.0,0.0,55.862063289431,-4.25307502264528,0.0,Waxy O'Connors,0,Glasgow,56.0,3.5
25,0.0,0.0,55.8593557,-4.2480296,0.0,BrewDog DogHouse,0,Glasgow,48.0,4.5
26,0.0,0.0,55.8645383,-4.2836138,0.0,Distill,0,Glasgow,29.0,4.0
27,0.0,0.0,55.8683471679688,-4.27361679077148,0.0,The Drake,0,Glasgow,35.0,4.0
28,0.0,0.0,55.8723974,-4.2728769,0.0,Munro's,0,Glasgow,30.0,3.5
29,0.0,0.0,55.9377826,-4.2128135,0.0,Torrance Inn,0,Glasgow,2.0,4.5
30,0.0,0.0,55.8655116,-4.2837556,0.0,The Sisters,0,Glasgow,26.0,4.5
31,0.0,0.0,55.8666433,-4.2903408,0.0,Firebird,0,Glasgow,57.0,4.0
32,0.0,0.0,55.8611247060779,-4.25169269930607,0.0,The Counting House,0,Glasgow,91.0,3.5
33,0.0,0.0,55.858853,-4.248389,0.0,Citation Taverne and Restaurant,0,Glasgow,14.0,3.0
34,0.0,0.0,55.8748303024243,-4.29279248096616,0.0,Jinty McGuinty's,0,Glasgow,36.0,3.5
35,0.0,0.0,55.8749497041252,-4.28076267242432,0.0,Inn Deep,0,Glasgow,51.0,4.0
36,0.0,0.0,55.831106,-4.279283,0.0,The Butterfly and the Pig,0,Glasgow,25.0,3.5
37,0.0,0.0,55.8574783355322,-4.25628736501589,0.0,Times Square,0,Glasgow,9.0,2.5
38,0.0,0.0,55.863971,-4.259456,0.0,Bloc+,0,Glasgow,92.0,4.0
39,0.0,0.0,55.8588783,-4.2456599,0.0,Bar 91,0,Glasgow,23.0,4.0
40,0.0,0.0,55.8633025,-4.2561688,0.0,The Bay Horse,0,Glasgow,8.0,3.0
41,0.0,0.0,55.8742666,-4.2765538,0.0,The Lansdowne Bar & Kitchen,0,Glasgow,26.0,3.5
42,0.0,0.0,55.8581314,-4.2234488,0.0,Redmond's,0,Glasgow,13.0,4.0
43,0.0,0.0,55.8619680857922,-4.25938367781819,0.0,The Slug & Lettuce,0,Glasgow,12.0,2.0
44,0.0,0.0,55.8579061,-4.2447286,0.0,Blackfriars,0,Glasgow,59.0,4.0
45,0.0,0.0,55.8646067,-4.2833538,0.0,Fanny Trollopes Bistro,0,Glasgow,26.0,4.5
46,0.0,0.0,55.859047,-4.248592,0.0,The Steps Bar,0,Glasgow,10.0,3.5
47,0.0,0.0,55.8669128,-4.2597389,0.0,Jackson's Drink Mongers,0,Glasgow,14.0,4.0
48,0.0,0.0,55.835877,-4.271554,0.0,Mulberry Street,0,Glasgow,18.0,4.0
49,0.0,0.0,55.8754959,-4.2944053,0.0,Bothy Restaurant,0,Glasgow,40.0,4.0
